experience,education,department,gender,role,company,salary,sector,age
25,M.Tech,Sales,Male,HR Manager,pvt_company,131478,private,50
36,B.Tech,IT,Female,Software Developer,startup,167629,startup,59
1,B.Sc,Operations,Female,Data Analyst,govt_company,65711,government,26
20,B.Tech,IT,Male,Database Admin,startup,104194,startup,44
30,B.Tech,R&D,Female,Project Manager,startup,187763,startup,53
23,B.Sc,Operations,Female,DevOps Engineer,mnc,137100,private,46
0,B.Tech,Marketing,Female,Database Admin,pvt_company,91723,private,24
32,B.Tech,Sales,Female,System Engineer,startup,114049,startup,57
23,M.Tech,Operations,Female,Product Manager,startup,113389,startup,46
11,M.Tech,Sales,Female,System Engineer,startup,114842,startup,36
29,B.Tech,HR,Male,DevOps Engineer,mnc,137077,private,49
30,B.Tech,IT,Female,Software Developer,startup,183672,startup,51
11,Unknown,HR,Male,Data Analyst,pvt_company,104741,private,35
33,B.Sc,Operations,Male,Database Admin,pvt_company,162551,private,55
37,B.Tech,HR,Female,System Engineer,govt_company,91158,government,58
15,B.Tech,HR,Female,System Engineer,startup,143999,startup,40
16,MBA,Support,Male,Data Analyst,pvt_company,114272,private,39
5,B.Tech,IT,Female,Network Engineer,pvt_company,59064,private,28
7,PhD,Marketing,Female,Product Manager,govt_company,69213,government,34
28,B.Sc,IT,Female,HR Manager,pvt_company,174406,private,53
24,B.Sc,Support,Female,Database Admin,startup,126882,startup,50
37,B.Sc,Sales,Female,Business Analyst,startup,130664,startup,59
8,M.Sc,Support,Male,Business Analyst,pvt_company,69299,private,34
0,M.Tech,IT,Male,ML Engineer,pvt_company,66891,private,24
18,B.Sc,Support,Male,ML Engineer,pvt_company,103988,private,41
0,M.Tech,Finance,Female,Data Analyst,pvt_company,75371,private,22
26,MBA,HR,Male,Project Manager,pvt_company,170917,private,49
24,Diploma,Sales,Male,Database Admin,govt_company,107351,government,45
13,B.Sc,HR,Male,Data Analyst,mnc,135033,private,36
9,M.Tech,R&D,Female,Project Manager,mnc,123016,private,35
11,M.Tech,Sales,Male,Database Admin,govt_company,78655,government,32
29,B.Sc,Support,Other,Software Developer,pvt_company,124865,private,54
14,M.Tech,HR,Female,Network Engineer,pvt_company,87691,private,35
32,B.Tech,Operations,Male,Data Analyst,startup,65457,startup,55
16,M.Tech,Operations,Female,UI/UX Designer,pvt_company,117036,private,36
21,B.Sc,R&D,Female,Network Engineer,mnc,135836,private,45
19,B.Tech,Support,Female,QA Tester,pvt_company,110087,private,46
8,B.Tech,Finance,Female,HR Manager,startup,114523,startup,31
25,M.Sc,Finance,Male,QA Tester,pvt_company,80037,private,49
1,B.Tech,Operations,Male,DevOps Engineer,pvt_company,69350,private,24
22,Diploma,Support,Female,Network Engineer,mnc,126526,private,46
4,B.Tech,HR,Female,Software Developer,mnc,67231,private,24
31,M.Tech,Support,Female,Data Analyst,mnc,129701,private,52
4,M.Tech,Sales,Female,Software Developer,pvt_company,85408,private,24
19,Diploma,Marketing,Female,HR Manager,startup,93466,startup,43
14,B.Tech,R&D,Female,DevOps Engineer,consultancy,90292,private,40
21,B.Sc,Marketing,Male,Project Manager,startup,101561,startup,42
0,Diploma,Support,Female,HR Manager,govt_company,71825,government,23
34,B.Tech,IT,Female,DevOps Engineer,pvt_company,173275,private,57
25,B.Tech,Marketing,Female,Business Analyst,mnc,151332,private,46
32,B.Tech,Support,Female,Project Manager,govt_company,115704,government,53
3,MBA,HR,Female,Data Analyst,mnc,82972,private,23
24,M.Tech,Finance,Male,UI/UX Designer,pvt_company,124706,private,48
10,M.Tech,HR,Male,HR Manager,govt_company,89765,government,31
7,B.Tech,Marketing,Female,DevOps Engineer,govt_company,67358,government,31
21,B.Tech,IT,Female,Data Analyst,mnc,133576,private,47
12,MBA,Support,Male,Database Admin,pvt_company,106782,private,38
20,Unknown,Finance,Female,Data Analyst,govt_company,106573,government,42
12,MBA,R&D,Male,UI/UX Designer,pvt_company,85252,private,38
13,B.Tech,IT,Other,Project Manager,govt_company,87127,government,35
0,MBA,R&D,Male,Software Developer,pvt_company,61856,private,23
0,Unknown,R&D,Male,Software Developer,govt_company,51983,government,23
17,M.Tech,Finance,Other,UI/UX Designer,pvt_company,75774,private,40
