age,experience,gender,role,sector,company,department,education,salary
59,21,Male,Technical Lead,IT & Software,TechNova Systems,Development,PhD,1299657
49,19,Male,Senior Developer,IT & Software,TechNova Systems,Management,B.Sc,1655200
35,15,Female,HR Executive,IT & Software,TechNova Systems,DevOps,B.Sc,1597821
28,10,Female,UI/UX Designer,IT & Software,TechNova Systems,DevOps,PhD,2075396
41,17,Male,Project Manager,IT & Software,TechNova Systems,Sales,B.Sc,1260364
59,22,Male,System Administrator,IT & Software,TechNova Systems,DevOps,MCA,1189520
39,15,Female,Data Analyst,IT & Software,TechNova Systems,Sales,MBA,1284922
43,19,Male,Senior Developer,IT & Software,TechNova Systems,Development,M.Tech,2407215
31,6,Female,UI/UX Designer,IT & Software,TechNova Systems,Testing,MCA,1434420
31,12,Male,QA Engineer,IT & Software,TechNova Systems,Management,M.Tech,1676610
44,18,Male,System Administrator,IT & Software,TechNova Systems,HR,MBA,954045
56,24,Male,QA Engineer,IT & Software,TechNova Systems,Development,MCA,711072
44,14,Male,Software Engineer,IT & Software,TechNova Systems,Management,B.Tech,569398
23,5,Female,System Administrator,IT & Software,TechNova Systems,Sales,BCA,1304599
42,18,Male,HR Executive,IT & Software,TechNova Systems,Sales,MBA,1032591
22,3,Male,Software Engineer,IT & Software,TechNova Systems,Development,B.Sc,1188301
44,21,Male,HR Executive,IT & Software,TechNova Systems,Management,MCA,1354145
50,20,Male,DevOps Engineer,IT & Software,TechNova Systems,Sales,MBA,1844234
58,27,Male,Senior Developer,IT & Software,TechNova Systems,Development,MBA,1212303
22,4,Female,Technical Lead,IT & Software,TechNova Systems,Support,MCA,2254268
41,15,Female,QA Engineer,IT & Software,TechNova Systems,Development,B.Sc,1600014
53,13,Female,Technical Lead,IT & Software,TechNova Systems,HR,PhD,1281010
32,10,Male,System Administrator,IT & Software,TechNova Systems,Development,B.Sc,1118510
42,16,Male,Data Analyst,IT & Software,TechNova Systems,Support,MBA,1519134
45,12,Male,Data Analyst,IT & Software,TechNova Systems,Management,M.Tech,1728701
47,17,Male,Product Manager,IT & Software,TechNova Systems,Management,PhD,890811
48,13,Female,QA Engineer,IT & Software,TechNova Systems,DevOps,MSc,743120
36,13,Female,Software Engineer,IT & Software,TechNova Systems,Sales,PhD,781163
35,17,Female,QA Engineer,IT & Software,TechNova Systems,DevOps,MBA,1413737
23,5,Male,DevOps Engineer,IT & Software,TechNova Systems,Finance,MCA,781929
57,27,Male,Product Manager,IT & Software,TechNova Systems,HR,MCA,2041308
27,9,Female,DevOps Engineer,IT & Software,TechNova Systems,Management,MCA,1947163
41,20,Male,Technical Lead,IT & Software,TechNova Systems,Sales,B.Sc,1142697
29,9,Male,System Administrator,IT & Software,TechNova Systems,Sales,B.Tech,1463556
59,21,Female,DevOps Engineer,IT & Software,TechNova Systems,HR,MCA,1216047
38,16,Female,Senior Developer,IT & Software,TechNova Systems,DevOps,MCA,2327879
24,4,Female,Software Engineer,IT & Software,TechNova Systems,HR,PhD,879500
45,19,Male,Software Engineer,IT & Software,TechNova Systems,DevOps,M.Tech,772678
34,12,Male,DevOps Engineer,IT & Software,TechNova Systems,Sales,M.Tech,2215980
29,11,Male,Data Scientist,IT & Software,TechNova Systems,Support,MBA,3000000
46,20,Female,Data Analyst,IT & Software,TechNova Systems,Finance,MBA,1905744
22,4,Male,Data Scientist,IT & Software,TechNova Systems,Support,MBA,1898828
40,13,Female,System Administrator,IT & Software,TechNova Systems,Testing,MCA,527741
48,22,Female,System Administrator,IT & Software,TechNova Systems,Support,M.Tech,1274417
27,9,Female,HR Executive,IT & Software,TechNova Systems,Sales,MBA,1280575
28,10,Male,Product Manager,IT & Software,TechNova Systems,HR,MSc,3000000
55,19,Male,System Administrator,IT & Software,TechNova Systems,Development,M.Tech,2389392
34,11,Female,HR Executive,IT & Software,TechNova Systems,Development,MCA,1124126
37,18,Female,Software Engineer,IT & Software,TechNova Systems,HR,PhD,1116349
56,30,Female,Senior Developer,IT & Software,TechNova Systems,Support,MCA,3000000
24,6,Male,Project Manager,IT & Software,TechNova Systems,HR,MBA,595428
22,4,Female,Data Analyst,IT & Software,TechNova Systems,Testing,MCA,666549
26,8,Female,HR Executive,IT & Software,TechNova Systems,Management,MCA,524488
24,6,Male,Product Manager,IT & Software,TechNova Systems,DevOps,MSc,1542008
49,22,Female,Product Manager,IT & Software,TechNova Systems,HR,M.Tech,1758186
38,16,Female,UI/UX Designer,IT & Software,TechNova Systems,DevOps,B.Tech,1126874
46,18,Male,Technical Lead,IT & Software,TechNova Systems,DevOps,MSc,995072
54,22,Male,Product Manager,IT & Software,TechNova Systems,Development,B.Sc,1197626
30,12,Female,Senior Developer,IT & Software,TechNova Systems,Finance,MSc,2040205
56,21,Male,QA Engineer,IT & Software,TechNova Systems,HR,MBA,907084
34,8,Female,Technical Lead,IT & Software,TechNova Systems,Testing,BCA,2364823
